Nihonbashi Toyoda	東京都中央区日本橋室町1-12-3	日本橋とよだ
Sushi Koshikawa, Akasaka	東京都港区赤坂5-4-14	鮨 こしかわ
Sushi Himitsu, Akasaka	東京都港区赤坂5-2-40	鮨 ひみつ
Makiyaki Ginza Onodera	東京都中央区銀座5-14-14	薪焼 銀座おのでら
Kobe Beef Ginza Wagyu Souei	東京都中央区銀座8-3-1	神戸牛 銀座和牛想榮
Meat Kappo Ginza KEIJI	東京都中央区銀座8-7-7	肉割烹 銀座 KEIJI
Oniku Karyu, Ginza	東京都中央区銀座1-14-6	おにく 花柳
Kiwamiya, Tokyo Station	東京都千代田区丸の内1-9-1	極味や 東京駅店 グランスタ八重北
Saryo Tsujiri (祇園辻利), Daimaru Tokyo	東京都千代田区丸の内1-9-1	茶寮都路里 大丸東京店 10F
Tamacho Honten (玉丁本店 八重洲店), Tokyo Station	東京都中央区八重洲2-1	玉丁本店 八重洲店 八重洲地下街
Yakitori Toriya Kokorobito, Akasaka	東京都港区赤坂2-7-5	鳥屋 心人
Sukiyaki Sasaki, Nihonbashi	東京都中央区日本橋本町4-2-3	肉鮮問屋 佐々木
Gamushara (我武者羅 幡ヶ谷本店), Hatagaya	東京都渋谷区幡ヶ谷2-1-5	生姜醤油専門 我武者羅 幡ヶ谷本店
Miyazaki Shoten (ミヤザキ商店 はなれ), Hatagaya	東京都渋谷区幡ヶ谷1-2-7	ミヤザキ商店 はなれ
Planet of Curry, Shimokitazawa	東京都世田谷区北沢2-15-11	カレーの惑星
CAPOON Matcha Seizojo, Shimokitazawa	東京都世田谷区北沢2-26-18	CAPOON抹茶製造所 下北沢店
Sushi Mitsuyoshi, Shinjuku Gyoen	東京都新宿区新宿1-18-3	鮨 みつよし
Shinjuku Gyoenmae Sushi Lab	東京都新宿区新宿1-4-13	新宿御苑前 鮨らぼ
Kappo Yuzuha, Nakameguro	東京都目黒区青葉台1-16-11	割烹 柚葉
Ebimaru Ramen, Jimbocho	東京都千代田区西神田2-1-13	海老丸らーめん
Daikanyama Rokkakutei	東京都渋谷区恵比寿西1-36-5	代官山 六角亭
Dancing Crab, Shinjuku	東京都新宿区新宿3-37-12	DANCING CRAB 東京
Nyorosuke, Roppongi	東京都港区六本木5-10-19	にょろ助 六本木店
Nishiazabu Kamikura	東京都港区西麻布4-2-9	西麻布 かみくら
Nishiazabu Teppanyaki Kichi	東京都港区西麻布4-11-14	西麻布 鉄板焼 吉
Shibuya Wagyu Yakiniku USHIHACHI Kiwami	東京都渋谷区道玄坂2-3-1	渋谷 和牛焼肉 USHIHACHI 極
Gyunabe Ukon, Hakone	神奈川県足柄下郡箱根町湯本茶屋185	牛なべ 右近
Ganko Kameoka Rakurakusou	京都府亀岡市北町44	がんこ 亀岡 楽々荘
Kashiwa Komainu Brewery	千葉県柏市柏5-8-15	こまいぬブルワリー 柏ビール
Mendokoro Kawano, Kyoto (ramen kitchen tour)	京都府京都市中京区聚楽廻東町2-9	麺処 かわ乃
Sumiyaki Unafuji, Daimaru Kyoto Bettei	京都府京都市下京区立売西町79	炭焼うな富士 大丸京都別邸 8F
A5 Wagyu Sukiyaki Ryu, Ueno	東京都台東区上野公園1-57	WAGYU SUKIYAKI 龍 上野 UENO3153
Shojin Ryori Daigo, Atago	東京都港区愛宕2-3-1	精進料理 醍醐 愛宕グリーンヒルズ
Sushi & Wine Omotesandoria	東京都渋谷区神宮前5-51-8	寿司とワイン オモテサンドリア
Tempura Ten Soso, Roppongi Hills	東京都港区六本木6-10-1	天蒼々 六本木ヒルズ店
Tony's Pizza, Kichijoji	東京都武蔵野市吉祥寺南町1-6-9	TONY's PIZZA
The Samurai Restaurant, Kabukicho	東京都新宿区歌舞伎町1-7-7	サムライレストラン
Yakiniku Kappo Note, Azabu-Juban	東京都港区麻布十番2-9-5	焼肉割烹 ノ音
Sushi Gotoroppo, Ebisu	東京都渋谷区恵比寿西1-7-13	鮨 五十六歩
Sushi Oumi, The Kitano Hotel Tokyo	東京都千代田区平河町2-16-15	すし おうみ ザ・キタノホテル東京 B1
Gion Kurashita, Hanamikoji, Gion, Kyoto	京都府京都市東山区祇園町南側570-157	祇園 くらした
Sushi Hajime, Shibuya	東京都渋谷区渋谷3-15-5	鮨 一 グリームビル B1F (owner-confirmed)
Tempura Satoumisatoyama, Kabukicho	東京都新宿区歌舞伎町2-30-3	天ぷら 里海里山 1F — owner-confirmed; pin was ALREADY CORRECT (11 m), no move
